,0
0,Alabama
1,Arizona
2,Connecticut
3,Delaware
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Louisiana
10,Maryland
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Missouri
16,Nebraska
17,Nevada
18,New Hampshire
19,New Jersey
20,New Mexico
21,North Dakota
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Dakota
27,Tennessee
28,Utah
29,Virginia
30,West Virginia
31,Wisconsin
32,Wyoming
